com,n_com,dgr_int,PY,TI,AU,UT,seed_com
4,82,0.8648639639945964,2020,INTRA-CATCHMENT VARIABILITY OF SURFACE SATURATION - INSIGHTS FROM PHYSICALLY BASED SIMULATIONS IN COMPARISON WITH BIWEEKLY THERMAL INFRARED IMAGE OBSERVATIONS,GLASER B;ANTONELLI M;HOPP L;KLAUS J,2-S2.0-85082619007,TRUE
5,69,0.41472797107438675,2018,INFLUENCE OF NEW AGROMINING CROPPING SYSTEMS ON SOIL BACTERIAL DIVERSITY AND THE PHYSICO-CHEMICAL CHARACTERISTICS OF AN ULTRAMAFIC SOIL,SAAD RF;KOBAISSI A;ECHEVARRIA G;KIDD P;CALUSINSKA M;GOUX X;BENIZRI E,2-S2.0-85049974459,TRUE
5,69,0.3840544600477961,2018,SOIL MICROBIAL AND NI-AGRONOMIC RESPONSES TO ALYSSUM MURALE INTERPLANTED WITH A LEGUME,SAAD RF;KOBAISSI A;GOUX X;CALUSINSKA M;ECHEVARRIA G;KIDD P;BENIZRI E,2-S2.0-85052813048,TRUE
5,69,0.3396549316661097,2019,COMMUNITY DIVERSITY AND POTENTIAL FUNCTIONS OF RHIZOSPHERE-ASSOCIATED BACTERIA OF NICKEL HYPERACCUMULATORS FOUND IN ALBANIA,LOPEZ S;GOUX X;ECHEVARRIA G;CALUSINSKA M;MOREL JL;BENIZRI E,2-S2.0-85056472909,TRUE
5,69,0.32604694093616127,2019,BACTERIAL COMMUNITY DIVERSITY IN THE RHIZOSPHERE OF NICKEL HYPERACCUMULATOR SPECIES OF HALMAHERA ISLAND (INDONESIA),LOPEZ S;GOUX X;VAN DER ENT A;ERSKINE PD;ECHEVARRIA G;CALUSINSKA M;MOREL JL;BENIZRI E,2-S2.0-85053826118,TRUE
5,69,0.2999634195571498,2020,COMPOSITIONAL AND FUNCTIONAL CHARACTERISATION OF BIOMASS-DEGRADING MICROBIAL COMMUNITIES IN GUTS OF PLANT FIBRE- AND SOIL-FEEDING HIGHER TERMITES,MARYNOWSKA M;GOUX X;SILLAM-DUSSÈS D;ROULAND-LEFÈVRE C;HALDER R;WILMES P;GAWRON P;ROISIN Y;DELFOSSE P;CALUSINSKA M,2-S2.0-85087008062,TRUE
6,69,2.64999760874895,2019,PROBABILISTIC URBAN FLOOD MAPPING USING SAR DATA,CHINI M;HOSTACHE R;PELICH R;MATGEN P;PULVIRENTI L;PIERDICCA N,2-S2.0-85077714778,TRUE
6,69,2.172729692480715,2018,MONITORING URBAN FLOODS USING SAR INTERFEROMETRIC OBSERVATIONS,CHINI M;PULVIRENTI L;PELICH R;PIERDICCA N;HOSTACHE R;MATGEN P,2-S2.0-85063137944,TRUE
6,69,2.0367848430263447,2021,"SAR-BASED FLOOD MAPPING, WHERE WE ARE AND FUTURE CHALLENGES",CHINI M;PELICH R;LI Y;HOSTACHE R;ZHAO J;DI MAURO C;MATGEN P,2-S2.0-85129892103,TRUE
6,69,1.996782504672787,2020,THE ROLE OF CO- AND CROSS-POLARIZATIONS INSAR COHERENCES IN MAPPING FLOODED URBAN AREAS,CHINI M;PELICH R;PULVIRENTI L;PIERDICCA N;HOSTACHE R;MATGEN P,2-S2.0-85101968748,TRUE
